study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_test,num_older_wom,num_hpv_pos,num_hr_hpv_pos,hpv_type,num_type,type_prev,notes
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,58,8.147,0.005587791,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,59,4.248,0.00291358,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",GP5+/GP6+,1458,NA,104,68,8.288,0.005684499,need to calculate N of infected by type individually based on % from table 1 by age group and then sum up
25HG,"Agorastos et al., 2019",Implementation of HPV-based Cervical Cancer Screening Combined with Self-sampling Using a Midwifery Network Across Rural Greece: The GRECOSELF Study,cross-sectional ,2018,Europe,Southern Europe,Greece,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18 ",Cobas,4788,NA,238,16,32,0.006683375,Table 4
25HG,"Agorastos et al., 2019",Implementation of HPV-based Cervical Cancer Screening Combined with Self-sampling Using a Midwifery Network Across Rural Greece: The GRECOSELF Study,cross-sectional ,2018,Europe,Southern Europe,Greece,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18 ",Cobas,4788,NA,238,18,18,0.003759398,Table 4
18OHG,"Andujar et al., 2020","Prevalence and genotype distribution of
cervical human papilomavirus infection
in the pre-vaccination
era: a population-based
study in the Canary Islands",cross-sectional ,2007,Europe,Southern Europe,Spain,Canary Islands,Both ,Predominantly normal ,conventional ,screening,"HR-HPV, 16/18, 6/11/16/18/31/33/45/52/58",MY09/11 and GP5+/GP6+,1601,129,85.91,16/18,21.725,0.013569644,Figure 1 using PlotDigitizer
18OHG,"Andujar et al., 2020","Prevalence and genotype distribution of
cervical human papilomavirus infection
in the pre-vaccination
era: a population-based
study in the Canary Islands",cross-sectional ,2007,Europe,Southern Europe,Spain,Canary Islands,Both ,Predominantly normal ,conventional ,screening,"HR-HPV, 16/18, 6/11/16/18/31/33/45/52/58",MY09/11 and GP5+/GP6+,1601,129,85.91,6/11/16/18/31/33/45/52/58,44.05,0.027514054,Figure 1 using PlotDigitizer
29HG,"Bergengren et al., 2020","Prevalence of HPV and pathological changes among women 70 years
of age, 10 years after exclusion from the Swedish cervical cancer
screening program",cross-sectional ,2017,Europe,Northern Europe,Sweden,Örebro County,Older,Predominantly normal ,LBC,general population,"HR-HPV, 16, 33, 68",PCR E6/E7,809,NA,31,16,4.854,0.006,0.006 prevalence for type 16
29HG,"Bergengren et al., 2020","Prevalence of HPV and pathological changes among women 70 years
of age, 10 years after exclusion from the Swedish cervical cancer
screening program",cross-sectional ,2017,Europe,Northern Europe,Sweden,Örebro County,Older,Predominantly normal ,LBC,general population,"HR-HPV, 16, 33, 68",PCR E6/E7,809,NA,31,33,4.854,0.006,0.006 prevalence for type 33
29HG,"Bergengren et al., 2020","Prevalence of HPV and pathological changes among women 70 years
of age, 10 years after exclusion from the Swedish cervical cancer
screening program",cross-sectional ,2017,Europe,Northern Europe,Sweden,Örebro County,Older,Predominantly normal ,LBC,general population,"HR-HPV, 16, 33, 68",PCR E6/E7,809,NA,31,68,4.854,0.006,0.006 prevalence for type 68
30HG,"Bhar et al., 2015",Human papillomavirus (HPV) types 16 and 18 in liquid-based cervical cytology samples,prospective,NA,Asia,Southern Asia,India,Chandigarh,Both ,Predominantly normal ,LBC,screening,"16, 18, 16/18",other PCR,29,NA,16,16,12,0.413793103,Table 2
30HG,"Bhar et al., 2015",Human papillomavirus (HPV) types 16 and 18 in liquid-based cervical cytology samples,prospective,NA,Asia,Southern Asia,India,Chandigarh,Both ,Predominantly normal ,LBC,screening,"16, 18, 16/18",other PCR,29,NA,16,18,8,0.275862069,Table 2
30HG,"Bhar et al., 2015",Human papillomavirus (HPV) types 16 and 18 in liquid-based cervical cytology samples,prospective,NA,Asia,Southern Asia,India,Chandigarh,Both ,Predominantly normal ,LBC,screening,"16, 18, 16/18",other PCR,29,NA,16,16/18,4,0.137931034,Table 2
30OG,"Cathro et al., 2009","Human papillomavirus profile of women in Belize City, Belize: correlation with cervical cytopathologic findings",cross-sectional ,2007,Americas,Central America,Belize,Belize City,Both ,Predominantly normal ,conventional ,screening,"overall, 16, 18",GP5+/6+,44,3,NA,16,0,0,Figure 1 using PlotDigitizer
30OG,"Cathro et al., 2009","Human papillomavirus profile of women in Belize City, Belize: correlation with cervical cytopathologic findings",cross-sectional ,2007,Americas,Central America,Belize,Belize City,Both ,Predominantly normal ,conventional ,screening,"overall, 16, 18",GP5+/6+,44,3,NA,18,1.015,0.023068182,Figure 1 using PlotDigitizer
31OG,"Centurioni et al., 2005",Prevalence of human papillomavirus cervical infection in an Italian asymptomatic population,cross-sectional ,1993,Europe,Southern,Italy,Genova,Both,Predominantly normal ,LBC,screening ,"overall, 6/11, 16, 18, 33",MY09/11,264,41,NA,"6,11",1,0.003787879,Table 2 
31OG,"Centurioni et al., 2005",Prevalence of human papillomavirus cervical infection in an Italian asymptomatic population,cross-sectional ,1993,Europe,Southern,Italy,Genova,Both,Predominantly normal ,LBC,screening ,"overall, 6/11, 16, 18, 33",MY09/11,264,41,NA,16,28,0.106060606,Table 2 
31OG,"Centurioni et al., 2005",Prevalence of human papillomavirus cervical infection in an Italian asymptomatic population,cross-sectional ,1993,Europe,Southern,Italy,Genova,Both,Predominantly normal ,LBC,screening ,"overall, 6/11, 16, 18, 33",MY09/11,264,41,NA,18,14,0.053030303,Table 2 
31OG,"Centurioni et al., 2005",Prevalence of human papillomavirus cervical infection in an Italian asymptomatic population,cross-sectional ,1993,Europe,Southern,Italy,Genova,Both,Predominantly normal ,LBC,screening ,"overall, 6/11, 16, 18, 33",MY09/11,264,41,NA,33,2,0.007575758,Table 2 
34OHG,"Chen et al., 2015","Prevalence and Genotype Distribution of Cervical Human Papillomavirus (HPV) Among Women in Urban Tianjin, China",cross-sectional ,2013,Asia,Eastern Asia,China,Tianjin,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 58, 66",MY09/11 and GP5+/GP6+,747,110,89,16,34.91,0.046733601,prevalence for specific HR-HPV type reported in Figure 3 and extracted with Plot digitizer
34OHG,"Chen et al., 2015","Prevalence and Genotype Distribution of Cervical Human Papillomavirus (HPV) Among Women in Urban Tianjin, China",cross-sectional ,2013,Asia,Eastern Asia,China,Tianjin,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 58, 66",MY09/11 and GP5+/GP6+,747,110,89,18,9.127,0.012218206,prevalence for specific HR-HPV type reported in Figure 3 and extracted with Plot digitizer
34OHG,"Chen et al., 2015","Prevalence and Genotype Distribution of Cervical Human Papillomavirus (HPV) Among Women in Urban Tianjin, China",cross-sectional ,2013,Asia,Eastern Asia,China,Tianjin,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 58, 66",MY09/11 and GP5+/GP6+,747,110,89,58,19.088,0.025552878,prevalence for specific HR-HPV type reported in Figure 3 and extracted with Plot digitizer
34OHG,"Chen et al., 2015","Prevalence and Genotype Distribution of Cervical Human Papillomavirus (HPV) Among Women in Urban Tianjin, China",cross-sectional ,2013,Asia,Eastern Asia,China,Tianjin,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 58, 66",MY09/11 and GP5+/GP6+,747,110,89,66,3.973,0.005318608,prevalence for specific HR-HPV type reported in Figure 3 and extracted with Plot digitizer
39OG,"Debrah et al., 2021","Prevalence of vaccine and non‑vaccine
human papillomavirus types among women
in Accra and Kumasi, Ghana: a cross‑sectional
study",cross-sectional ,2015,Africa,Western Africa,Ghana,"Accra, Kumasi",Both ,Predominantly normal ,Conventional ,clinical setting ,"overall, 16/18",PCR E6/E7,7,2,NA,"16,18",0,0,Supplementary Table S1
40OHG,"Demers et al., 2012","Distribution of human papillomavirus types, cervical cancer screening history, and risk factors for infection in Manitoba",cross-sectional ,2008,Americas,North America,Canada,Manitoba,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16/18",other PCR,213,20,8,"16,18",4,0.018779343,"
TABLE 2
Age distribution of women by infection status and HPV type."
