study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_types_tested,hr_hpv_nr,hr_hpv_cat,hpv_test,test_details,num_older_wom,num_hr_hpv_pos,hr_prev,risk_of_bias,Comments
13H,"Lindström et al., 2018","Cervical dysplasia in elderly women
performing repeated self-sampling for HPV
testing",prospective,2016,Europe,Northern Europe,Sweden,Dalarna County,Older,Predominantly normal ,LBC,general population,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59 ",12,III,other PCR,"multiplex real-time PCR assay
(hpVIR)",893,39,0.044,low,"Table 1 data for age 60, 65, 70, 75"
14HP,"Mao et al., 2018","Clinical validation of the Cervista® high-risk
human papillomavirus test in Chinese women
from Fujian province: a cross-sectional study",cross-sectional ,2016,Asia,Eastern Asia,China,Fujian province,Both ,Predominantly normal ,LBC,clinical setting,HR-HPV," 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,other PCR,Cervista HR-HPV test,NA,NA,0.215,high,"HR-HPV infection rate reported  20.23% (51–60 years) and 22.80% (.61 years), however the N of each age group is not reported. Text and figure 3"
15H,"Paengchit et al., 2014","Prevalence and Genotype Distribution of HPV among Women Attending a Cervical Cancer Screening Mobile Unit in Lampang, Thailand",cross-sectional ,2014,Asia,South-eastern Asia,Thailand,Lampang,Both ,Predominantly normal ,LBC,screening,HR-HPV," 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,other PCR,"EIA kit HPV GP HR (Diassay
B.V. , Rijswijk, The Netherlands) and PCR Assay",842,34,0.04,low,NA
10OHG,"Richter et al., 2013","Age-specific prevalence of cervical human
papillomavirus infection and cytological abnormalities in women in Gauteng Province, South Africa",cross-sectional ,2011,Africa,Southern Africa,South Africa,Gauteng,Both ,Predominantly normal ,conventional ,screening,"HR-HPV, 16, 18, 16/18","16, 18, 31, 33, 35, 39, 45, 51,
52, 56, 58, 59, 68, 73, 82",15,III,LA,"HPV linear array (LA) genotyping kit (Roche
Molecular Systems, Branchburg, NJ).",325,82,0.253,low,NA
16HP,"Rijkaart et al., 2012",HPV DNA testing in population-based cervical screening (VUSA-Screen study): results and implications,prospective,2005,Europe ,Western Europe,Netherlands,Utrecht,Both ,Predominantly normal ,conventional ,screening,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,GP5+/GP6+,HC2 hybridisation assay,NA,NA,0.023,low,"HR-HPV infection rate reported  2.597% (54-58years) and 1.994% (59-61years), however the N of each age group is not reported. Figure 2 is the only breakdown of data by age for women 50+"
17HG,"Wu et al., 2017","A cross-sectional study on HPV testing with type 16/18 genotyping for cervical cancer screening in 11,064 Chinese women",prospective,2015,Asia,Eastern Asia,China,Longyou County,Both ,Predominantly normal ,LBC,general population,"HR-HPV, 16/18"," 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68, 16,18",14,III,Cobas,cobas 4800,3859,447,0.116,low,"Figure 3, prevalence by age group for HR-HPV and 16/18 GT"
18H,"Berois et al., 2014","Prevalence of Type-Specific HPV Infection in
Uruguay",retrospective,NA,Americas,Latin America,Uruguay,NA,Both ,Predominantly normal ,conventional ,screening,HR-HPV,"6, 11, 40, 42, 43, 44/55, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59,
68, 68, 70, 73, 82",18,III,other PCR,PapilloCheckR ,165,28,0.17,low,"only HR-HPV data is reported by age group, Figure 1"
19H,"Bonde et al., 2014","HPV prevalence and genotype distribution in a
population-based split-sample study of
well-screened women using CLART HPV2 Human Papillomavirus genotype microarray system",cross-sectional ,2011,Europe,Northern Europe,Denmark,Copenhagen,Both ,Predominantly normal ,LBC,screening,"HR-HPV, LR-HPV","6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42, 43,
44, 45, 51, 52, 53, 54, 56, 58, 59, 61, 62, 66, 68, 70, 71, 72,
73, 81, 82, 83, 84, 85, 89",14,III,"Multiple
",CLART/HC2,854,87,0.102,low,HR-HPV data is reported by age group in Table 2 
16OHG,"Brotherton et al., 2015",Human papillomavirus prevalence to age 60 years among Australian women prevaccination,cross-sectional ,2008,Oceania,Austraiia and New Zealand,Australia,NA,Both ,Predominantly normal ,LBC,clinical setting,"Overall, HR-HPV, 6/11/16/18, 16/18","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",15,III,PGMY09/11,"PGMY09/11-based HPV consensus polymerase chain
reaction/ELISA, were genotyped as described previously
using LINEAR ARRAY HPV Genotyping Test",135,12,0.089,low,Table 1
20H,"Castle et al., 2009","Five-Year Experience of Human Papillomavirus DNA and
Papanicolaou Test Cotesting",cross-sectional ,2008,Americas,Northern America,USA,Northern California,Both ,Predominantly normal ,conventional,screening,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,HC2,hybrid capture 2 test,299259,12014,0.04,low,"table 2, breakdown by standard age groups 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80+"
21HG,"Preisler et al., 2013","Prevalence of Human Papillomavirus in 5,072
Consecutive Cervical SurePath Samples Evaluated with
the Roche Cobas HPV Real-Time PCR Assay",cross-sectional ,2011,Europe,Northern Europe,Denmark,Copenhagen,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,"Multiple
",Cobas and HC2 testing,785,77,0.098,low,"used the cobas results, and data from Fig 1 and Table 1"
22H,"Sangwa-Lugoma et al., 2011",Prevalence and Determinants of High-Risk Human Papillomavirus Infection in Women From a Sub-Saharan African Community,cross-sectional ,2004,Africa,Sub-Saharan Africa,Democratic Republic of Congo,Kinshasa,Both ,Predominantly normal ,conventional,general population,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,HC2,hybrid capture 2 test,438,39,0.089,low,"Table 1 data by age and hr-HPV+, all subjects column used"
23HG,"Du et al., 2021",The prevalence of HR-HPV infection based on self-sampling among women in China exhibited some unique epidemiologic features,cross-sectional ,2018,Asia ,Eastern Asia,China ,NA,Both ,Predominantly normal ,NA,screening,"16, 18, 31, 33, 35, 39,45, 51, 52, 56, 58, 59, 66, 68","16, 18, 31, 33, 35, 39,45, 51, 52, 56, 58, 59, 66, 68",14,III,"Multiple
","MALDI-TOF, HC2, Cervista",640,NA,NA,low,"Table S3, the prevalance of HR-HPV is broken down by age, # of types of infection but not the total HR-HPV"
24HG,"Agarossi et al., 2009","Prevalence and Type Distribution of High-Risk
Human Papillomavirus Infection in Women
Undergoing Voluntary Cervical Cancer
Screening in Italy",cross-sectional ,2006,Europe,Southern Europe,Italy,NA,Both ,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,GP5+/GP6+,"Digene HC2, GP5+/GP6+ ",1458,104,0.071,low,Table 1 for N by age group and prevelance by any HR-HPV as well as by single HR-HPV types
25HG,"Agorastos et al., 2019",Implementation of HPV-based Cervical Cancer Screening Combined with Self-sampling Using a Midwifery Network Across Rural Greece: The GRECOSELF Study,cross-sectional ,2018,Europe,Southern Europe,Greece,NA,Both ,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,Cobas,cobas 4800,4788,238,0.05,low,"P.706 for overall hR-HPV postivitiy rate, and details on N by age group and by individual type on Table 4"
26H,"Ali et al., 2019","Burden and genotype distribution of highrisk
Human Papillomavirus infection and
cervical cytology abnormalities at selected
obstetrics and gynecology clinics of Addis
Ababa, Ethiopia",cross-sectional ,2015,Africa,Eastern Africa,Ethiopia,Addis Adaba,Both ,Predominantly normal ,conventional,clinical setting,HR-HPV,"31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",12,II,"other PCR
",Abbott RealTime PCR method,17,1,0.059,high,"Table 2, breakdown by age group 60+ but only for ""other HR-HPV"" (minus 16/18)"
27H,"Allan et al., 2006",The agreement between cervical abnormalities identified by cytology and detection of high-risk types of human papillomavirus,case-control,2001,Africa ,Southern Africa,South Africa,Western Cape Province,Both ,Predominantly normal ,NA,controls,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,HC2,HC2,422,62,0.147,low,"Figure 1, breakdown by age group and prevalence of HR-HPV"
18OHG,"Andujar et al., 2020","Prevalence and genotype distribution of
cervical human papilomavirus infection
in the pre-vaccination
era: a population-based
study in the Canary Islands",cross-sectional ,2007,Europe,Southern Europe,Spain,Canary Islands,Both ,Predominantly normal ,conventional ,screening,"Overall, HR-HPV, 16/18, 6/11/16/18/31/33/45/52/58","16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68",14,III,MY09/11 and GP5+/GP6+,"MY09/MY11, GP5+/GP6+, Linear Array Genotyping  test and INNO-LIPA HPV Genotyping Extra Amp Kit",1601,85.91,0.054,low,"Table 2, any HR-HPV prevalence by age group  50-54, 55-59, 65+"
19OH,"Ardhaoui et al., 2016","Prevalence, Genotype Distribution and Risk
Factors for Cervical Human Papillomavirus
Infection in the Grand Tunis Region, Tunisia",cross-sectional ,2013,Africa ,Northern Africa,Tunisia,Grand Tunis,Both ,Predominantly normal ,LBC,clinical setting,"Overall, HR-HPV, 6, 40, 55, 70, 16, 31, 35, 39, 52, 53, 59, 68, 89, 66","6, 11, 16, 18, 26, 31, 33, 34, 35, 39, 40, 42, 44, 45, 51, 52,
53, 54, 55, 56, 57, 58, 59, 66, 68, 69, 70, 73, 82, 83, 84",14,III,MY09/11 and GP5+/GP6+,"MY09/MY11, GP5+/GP6+; Reverse Line Hybridization genotyping",47,3,0.073,low,Figure 3 for HR-HPV by age group using plotdigitizer
20OH,"Balanda et al., 2016","Prevalence of human papillomavirus infection among women presenting for cervical cancer screening in Chile, 2014–2015",cross-sectional ,2015,Americas,South America,Chile,Santiago,Both ,Predominantly normal ,conventional ,screening,"Overall, HR-HPV","6, 11, 16, 18, 26, 31, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51,
52, 53, 54, 55, 56, 57, 58, 59, 69, 66, 68, 70, 73, 82, 83, 84",14,III,PGMY09/11,"Reverse
Line Blot (PCR-RLB). PCR using PGMY09 and biotinlabeled
PGMY11",349,19,0.054,low,Table 2
21OH,"Baloch et al., 2017","Prevalence and risk factors for human
papillomavirus infection among Chinese ethnic
women in southern of Yunnan, China",cross-sectional ,2017,Asia,Eastern Asia,China,Yunnan,Both ,Predominantly normal ,LBC,general population,"Overall, HR-HPV","16, 18, 31, 33, 35, 39,45, 51, 52, 53, 56, 58, 59, 66, 68, 53, 66, 81,6,11, 42, 43, 44, 61",15,III,PGMY09/11 and GP5+/GP6+,"genotyping with geno array test, and direct sequencing",108,16,0.148,low,NA
28HP,"Basu et al., 2013","Prevalence of high-risk human papillomavirus and cervical
intraepithelial neoplasias in a previously unscreened
population—A pooled analysis from three studies",cross-sectional ,2011,Asia,Southern Asia,India,West Bengal,Both ,Predominantly normal ,VIA,general population,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,HC2,HC2 used in the two studies that tested HPV,NA,NA,0.065,low,"Figure 2 % prevalence by age group 50-54, 55-59, 60+ , but no N for each group"
24OH,"Bell et al., 2007","There is a high prevalence of human papillomavirus infection in American
Indian women of the Northern Plains",cross-sectional ,NA,Americas,Northern Africa,USA,Northern Plains,Both ,Predominantly normal ,LBC and conventional,clinical setting,"overall, HR-HPV","16, 18, 59, 39, 73, 58, 45, 31, 68, 56, 52, 51, 82, 35, 66, 11, 53, 72, 83, 71, 62, 61, 26, 89, 81, 70, 67, 55, 42",15,III,HC2,"Line Blot assay with the
Digene Hybrid Capture cervical specimen collector; L1 consensus primer system (Roche,
Indianapolis, IN)",24,4,0.167,high,"Figure 2A, same # of HR hPV infection as overall "
25OH,"Bi et al., 2015","Human Papillomavirus Prevalence and Genotypes Distribution Among Female Outpatients in Qingdao, East China",cross-sectional ,2014,Asia,Eastern Asia,China,Qingdao,Both ,Predominantly normal ,LBC,clinical setting,"Overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58,
59, 66, 68, 73, 82, 83, 6, 11, 42, 43, 81",18,III,other PCR,"HPV Genotyping Kit (Yaneng Biotech), a PCR-based flow-through hybridization and gene chip system",1263,267,0.211,high,Figure 4 Age specific prevaence of HR HPV infections but presented as a percentage of the total HPV+ for that age group which was from table 1
29HG,"Bergengren et al., 2020","Prevalence of HPV and pathological changes among women 70 years
of age, 10 years after exclusion from the Swedish cervical cancer
screening program",cross-sectional ,2017,Europe,Northern Europe,Sweden,Örebro County,Older,Predominantly normal ,LBC,general population,"HR-HPV, 16, 33, 68","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59,
66, 68",14,III,PCR E6/E7,"Aptima HPV Assay (Hologic, Marlborough,
MA, USA); HPV E6/E7 mRNA from 14 high-risk
HPV types",809,31,0.038,low,Results section of the text page 2
30HG,"Bhar et al., 2015",Human papillomavirus (HPV) types 16 and 18 in liquid-based cervical cytology samples,prospective,NA,Asia,Southern Asia,India,Chandigarh,Both ,Predominantly normal ,LBC,screening,"16, 18, 16/18","16, 18
",2,I,other PCR,SurePath; Qiagen DNeasy Blood and Tissue kit,29,16,0.552,high,"Table 2, provides prevalence for 16, 18 and 16, 18 so overall HR -HPV prevalence would be adding up 16, 18 and subtracting 16/18 dual positive?"
31H,"Bondagji et al., 2013","Prevalence of high-risk human papillomavirus
infections in healthy Saudi women attending
gynecologic clinics in the western region of
Saudi Arabia",prospective,2011,Asia ,Western Asia,Saudi Arabia ,Jeddah,Both,Predominantly normal ,conventional ,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68",13,III,HC2,digene HC2 HPV test,151,11,0.073,low,"Table 1, reports HR HPV prevalance by age group"
27OH,"Castellsague et al., 2012","Prevalence and Genotype Distribution of Human
Papillomavirus Infection of the Cervix in Spain:
The CLEOPATRE Study",cross-sectional ,2008,Europe,Western Europe,Spain,NA,Both ,Predominantly normal ,LBC,screening,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68, 6, 11, 42, 43, 44",13,III,HC2,"HC2, INNOLiPA
HPV Genotyping Extra Reverse Hybridization
Line Probe Assay",454,23,0.051,low,Table 2
28OH,"Castellsague et al., 2001","Human papillomavirus genotypes in
rural Mozambique",cross-sectional ,1999,Africa,Eastern Africa,Mozambique,NA,Both,Predominantly normal ,LBC,general population,overall HR-HPV,"16, 18, 26, 31, 33, 35, 39,
45, 51, 52, 55, 56, 58, 59, 68, 6, 11, 40, 42, 53, 54, 57, 66",18,III,PGMY09/11,"PGMY09-PGMY11 primer
system in a reverse line-blot strip-based assay with high
sensitivity in type-specific amplification. HC2",41,9,0.22,low,Table 1
32H,"Castro et al., 2014","Serological prevalence and persistence of high-risk
human papillomavirus infection among women
in Santiago, Chile",prospective,2006,Americas,South America,Chile,Santiago,Both ,Predominantly normal ,LBC,general population,HR-HPV,"16, 18, 31, 33,
35, 45, 52, 58",8,II,GP5+/6+,"GP5+/6+ primer-mediated
PCR and enzyme immune assay. Reverse line blot genotyping
was used to identify HR-HPV types 16, 18, 31, 33,
35, 45, 52 and 58.""",211,14,0.064,low,Based on informaton from Figure 1 and 2; they give information on HRHPV DNA and also HPV type antibodies but we only counted the HRHPV DNA as that is the measure used in the other studies as well 
33H,"Catarino et al., 2014","Human papillomavirus prevalence and type-specific distribution of
high- and low-risk genotypes among Malagasy women living in urban
and rural areas",cross-sectional ,2015,Africe,Eastern Africa,Madagascar,Ambanja,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 26, 31, 33, 35, 39,
45, 51, 52, 53, 56, 58, 59, 66, 68, 69, 73, 82, 6, 11, 40, 42, 43, 44, 54, 61, 70",19,III,other PCR,"semi-quantitative real-time
multiplex polymerase chain reaction (PCR) assay for screening and
HPV genotyping (Anyplex II HPV28 (H28) test; Seegene, Seoul,
South Korea). DNA extracts were subjected to amplification and
detection using the H28 test and CFX96 real-time thermocycler
(Buhlmann Laboratories AG, Schönenbuch, Switzerland).",275,113,0.411,low,"Table 2, see coments under NUM_50+"
32OH,"Chan et al., 2002","Determinants of Cervical Human Papillomavirus Infection: Differences
between High- and Low-Oncogenic Risk Types",cross-sectional ,NA,Asia,Eastern Asia,China,Hong Kong,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV","16, 18, 31, 33, 39, 52, 56, 58, 68, 6, 11, 53, 57, 66",9,II,MY09/11,"cycle
sequencing with the ABI PRISM BigDye Terminator Cycle
Sequencing Ready Reaction Kit (Perkin-Elmer).",235,4,0.017,high,"Figure 1 HPV prevalence by age group, they only provided the number of subjects for 56 + but the figure shows HPV prevalence for 51-55 and 55+; with plotdigitizer overall HPV+ for 55+ is 0.0295193, and for HR=HPV 0.0169801, I think theis might be a typo"
34H,"Chan et al., 2010","Age distribution of human papillomavirus infection and
cervical neoplasia reflects caveats of cervical screening policies",retrospective,2008,Asia,Eastern Asia,China,Hong Kong,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 26, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66,
67, 68, 69, 73, 82",20,III,PGMY09/11,PCR PGMY09/11 and linear array HPV genotyping,506,18,0.036,low,"Figure 1A reports HR-HPV prevalence for 51-55, 55+ was then averaged and multiplied by total N for 51+ to get N of infected"
33OH,"Chansaeroj et al., 2010","Prevalence and Genotypes of Human Papillomavirus among
Thai Women",cross-sectional ,2009,Asia,Southeastern asia,Thailand,Bangkok,Both ,Predominantly normal ,LBC,clinical setting,"Overall, HR-HPV","6, 11, 16, 18, 30, 31, 32, 34, 35, 39, 42, 51, 52, 53, 55, 56, 59, 66, 68, 70, 71, 74, 81, 82, 90, 91",13,III,PCR L1 or E1,"E1 gene sequence used
for HPV DNA and genotype detection",487,17,0.035,high,table 1 reports HPV prevalence by age group
34OHG,"Chen et al., 2015","Prevalence and Genotype Distribution of Cervical Human Papillomavirus (HPV) Among Women in Urban Tianjin, China",cross-sectional ,2013,Asia,Eastern Asia,China,Tianjin,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 58, 66","16, 18, 31, 33,
35, 39, 45, 51, 52, 56, 58, 59, 66, 68, 69, 53, 70, 6, 11, 42, 43, 44, 62, 81, 61, 84, 54, 67, 69, 90",14,III,MY09/11 and GP5+/GP6+,some results were obtained by DNA sequence alignment using BLAST,747,89,0.119,low,Table 2 reports HPV prevalence by age group
35H,"Clavel et al., 2001",Human papillomavirus testing in primary screening for the detection of high-grade cervical lesions: a study of 7932 women,cross-sectional ,2001,Europe,Western Europe,France,Reims,Both,Predominantly normal ,conventional,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,HC2,HC-II System (Digene),1670,171,0.102,low,Table 2 reports HR-HPV prevalence by age group
36H,"Cuzick et al., 2003",Management of women who test positive for high-risk types of human papillomavirus: the HART study,cross-sectional ,2001,Europe,Northern Europe,UK,NA,Both,Predominantly normal ,conventional,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,HC2,"testing was done in one of two laboratories using
hybrid capture II (Digene, Gaithersburg, MD, USA)
with only the high-risk group of probes",2490,89,0.036,low,"Figure 1 for age distribution of HR HPV infection, age break down 50-54, 55-59"
37H,"Cuzick et al., 1999",HPV testing in primary screening of older women,cross-sectional ,NA,Europe,Northern Europe,UK,NA,Both,Predominantly normal ,conventional,screening,HR-HPV,"16, 18, 31, 33, 35, 45, 51, 52, 56, 58",10,II,MY09/11,"PCR/SHARP assay and amplified HPV test (HC2), consensus primers MY09/11",906,54,0.06,low,"Figure 1 for distribution of specific ages, Figure 2 for prevalence by age group. Please note data extracted from Figure 1/2 using plot digitizer, however only women 50-64 counted because the HPV prevalence is only provided for that group in Figure 2"
37OH,"Dai et al., 2006","Human papillomavirus infection in Shanxi Province, People’s Republic of China: a population-based study",cross-sectional ,2004,Asia,Eastern Asia,China,Shanxi,Both,Predominantly normal ,LBC,general population,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58,
59, 68, 73, 82",15,III,GP5+/GP6+,"Subsequent
HPV typing was performed by reverse line blot hybridisation of
PCR products",91,9,0.099,low,NA
